text,label,urgency_score,sender_type,sender_tier
Happy Friday!,low,0.0698,peer,1
Good morning!,low,0.0391,family,2
Reminder: performance review cycle starts Monday.,medium,0.566,manager,3
Your two-factor auth was just used from an unknown location,high,0.747,unknown,0
"Grocery list: milk, eggs, bread",low,0.0536,family,2
Netflix just dropped a new show btw,low,0.2365,peer,1
Your travel reimbursement has been processed.,medium,0.5067,unknown,0
Final warning: approve the PR or we miss the release window,high,0.8336,peer,1
deal closing in 30 min - need sign-off or we lose it,high,0.9825,manager,3
can you review my pr when you get a chance? no rush,medium,0.4946,peer,1
your leave request has been approved,medium,0.556,unknown,0
Can you help debug this issue by EOD?,medium,0.5698,peer,1
Pick up the dry cleaning on your way home.,low,0.0671,family,2
deadline: submit the report in the next 20 minutes or we lose the contract,high,0.959,manager,3
Your benefits enrollment closes in 2 days,medium,0.4883,unknown,0
final warning: approve the pr or we miss the release window,high,0.7423,peer,1
"Load balancer config change tonight, be aware",medium,0.3903,peer,1
Are we still on for Friday drinks?,low,0.0483,peer,1
"Urgent: refund batch job failed, 500 customers affected!",high,0.7863,peer,1
Lunch plans today?,low,0.0858,peer,1
"new hire starting monday, please prepare onboarding",medium,0.4231,manager,3
are we still on for friday drinks?,low,0.2405,peer,1
can you hop on a quick call sometime today?,medium,0.4389,manager,3
Please review the proposal before the meeting,medium,0.5523,peer,1
When are you free for a quick catch-up call?,low,0.0338,peer,1
Your monthly statement is ready to view,low,0.0827,unknown,0
"URGENT: Client threatening to pull the contract, need you on call",high,0.9221,manager,3
"CEO needs the numbers in 10 minutes, send immediately",high,0.825,manager,3
Don't forget mom's birthday next week.,low,0.0907,family,2
Your two-factor auth was just used from an unknown location!,high,0.771,unknown,0
"yo, free this evening?",low,0.2345,peer,1
your monthly statement is ready to view,low,0.1659,unknown,0
reminder: dentist appointment thursday 4pm,low,0.0436,unknown,0
"SLA breach in 20 min if not resolved, client watching",high,0.7699,manager,3
Your two-factor auth was just used from an unknown location!,high,0.7177,unknown,0
"Client on the phone, need answer right now",high,0.7613,manager,3
"urgent: server is down, customers can't login - call now",high,0.86,peer,1
New blog post from your favourite author.,low,0.1679,unknown,0
lunch plans today?,low,0.1455,peer,1
Please update the JIRA ticket with your progress,medium,0.4866,peer,1
"long weekend next week, any plans?",low,0.1073,peer,1
"Medical emergency at office, everyone please respond!",high,0.759,unknown,0
"final: board presentation in 8 minutes, file won't open",high,0.967,manager,3
"Hey, enjoyed the presentation today.",low,0.3299,peer,1
"Contract renewal is up for review, need your input",medium,0.54,manager,3
New company policy: please read and acknowledge.,medium,0.6244,manager,3
"gas leak reported in the building, exit immediately",high,0.8042,unknown,0
Reminder: performance review cycle starts Monday,medium,0.4547,manager,3
Can you cover for me in the standup tomorrow?,medium,0.5041,peer,1
reminder: gym session at 7am tomorrow,low,0.1193,peer,1
"Sprint planning tomorrow 10am, please come prepared.",medium,0.4759,manager,3
Your two-factor auth was just used from an unknown location,high,0.973,unknown,0
Your subscription renews in 7 days.,low,0.1831,unknown,0
"Ransomware detected on 3 machines, disconnect from VPN now",high,0.7536,peer,1
Vendor payment pending your approval,medium,0.4061,manager,3
Expense report needs to be submitted this week.,medium,0.5515,unknown,0
ALERT: Unauthorized access attempt on production,high,0.9788,unknown,0
"Hey, enjoyed the presentation today!",low,0.2668,peer,1
Reminder: submit your timesheet by EOD Friday,low,0.2672,unknown,0
When are you free for a quick catch-up call.,low,0.2604,peer,1
"ambulance called, priya collapsed in office, please come",high,0.7119,peer,1
ESCALATION: Customer data visible to wrong users - P0!,high,0.7131,manager,3
please double-check the prod deployment checklist,medium,0.4595,peer,1
"The staging environment is acting up, can you check?",medium,0.4448,peer,1
"urgent: investor call in 15 min, deck not loading, fix now",high,0.9711,manager,3
deal closing in 30 min - need sign-off or we lose it,high,0.9275,manager,3
Can you share the Q3 report before COB today.,medium,0.3942,manager,3
"Project update: everything's on track, no blockers.",low,0.1596,peer,1
"Contract renewal is up for review, need your input",medium,0.4515,manager,3
Expense report needs to be submitted this week.,medium,0.6156,unknown,0
"hey, how's the new project going?",low,0.2571,peer,1
Production is down. Repeat: prod is down. All hands NOW!,high,0.773,peer,1
Your training course expires in 5 days.,medium,0.3672,unknown,0
Database corruption detected - halt all writes immediately!,high,0.7778,peer,1
Your benefits enrollment closes in 2 days.,medium,0.6285,unknown,0
"Airport: your flight departs in 40 min, proceed to gate",high,0.9166,unknown,0
"CRITICAL PATH: If you don't merge this in 10 min, release fails",high,0.8444,peer,1
Your two-factor auth was just used from an unknown location!,high,0.9044,unknown,0
deployment scheduled for 3pm today - just fyi,medium,0.6518,peer,1
Netflix just dropped a new show btw.,low,0.1652,peer,1
happy friday!,low,0.1614,peer,1
please double-check the prod deployment checklist,medium,0.3883,peer,1
"hey, are you coming to the party?",low,0.1799,peer,1
network switch failure - entire floor is offline,high,0.9417,peer,1
meme incoming 😂,low,0.3037,peer,1
"hey, what's up?",low,0.1138,peer,1
"Candidate background check cleared, offer going out",medium,0.4185,manager,3
Coffee later?,low,0.1178,peer,1
"SLA breach in 20 min if not resolved, client watching!",high,0.9019,manager,3
Your order has shipped!,low,0.328,unknown,0
Expense report needs to be submitted this week,medium,0.4135,unknown,0
ALERT: Unauthorized access attempt on production!,high,0.7309,unknown,0
security patch needs to be applied this week,medium,0.4302,peer,1
Are we still on for Friday drinks?,low,0.2718,peer,1
"server memory leak crashing every 10 min, need patch now",high,0.9268,peer,1
did you get my email from yesterday?,low,0.3322,peer,1
"CRITICAL: Payment gateway failing, losing transactions",high,0.8199,peer,1
Vendor payment pending your approval,medium,0.6296,manager,3
"ASAP: Security breach detected, isolate the system!",high,0.7388,peer,1
Vendor payment pending your approval.,medium,0.5832,manager,3
"gas leak reported in the building, exit immediately",high,0.9097,unknown,0
"BREACH: SSH keys exposed in public repo, rotate now!",high,0.7175,peer,1
"grocery list: milk, eggs, bread",low,0.0842,family,2
Reminder: performance review cycle starts Monday,medium,0.4512,manager,3
Production is down. Repeat: prod is down. All hands NOW,high,0.982,peer,1
Can you cover for me in the standup tomorrow?,medium,0.6746,peer,1
Your subscription renews in 7 days,low,0.2305,unknown,0
Reminder: dentist appointment Thursday 4pm.,low,0.2168,unknown,0
"Gas leak reported in the building, exit immediately!",high,0.8113,unknown,0
weekly digest: top stories for you,low,0.1086,unknown,0
Please review the proposal before the meeting,medium,0.5145,peer,1
"driver: your passenger has left belongings, urgent return",high,0.8388,unknown,0
Did you get my email from yesterday.,low,0.0898,peer,1
can you hop on a quick call sometime today?,medium,0.3809,manager,3
FYI - office is closing early Friday.,low,0.0579,peer,1
Security patch needs to be applied this week.,medium,0.5497,peer,1
When are you free for a quick catch-up call.,low,0.1741,peer,1
"Ambulance called, Priya collapsed in office, please come!",high,0.8506,peer,1
"power outage in datacenter, backup failing",high,0.9644,peer,1
No action needed - just a status ping.,low,0.2442,peer,1
Netflix just dropped a new show btw,low,0.0411,peer,1
"ceo needs the numbers in 10 minutes, send immediately",high,0.9876,manager,3
"ASAP: Insurance claim deadline today 5pm, submit now!",high,0.888,unknown,0
Expense report needs to be submitted this week.,medium,0.6862,unknown,0
"candidate background check cleared, offer going out",medium,0.3687,manager,3
your child's school: please call urgently,high,0.7732,unknown,0
Tip: complete your profile to get more matches.,low,0.0537,unknown,0
"urgent: wrong data pushed to 10k users, recall now",high,0.7586,peer,1
"Candidate background check cleared, offer going out",medium,0.5235,manager,3
Tip: complete your profile to get more matches.,low,0.2222,unknown,0
Happy Friday.,low,0.1033,peer,1
your leave request has been approved,medium,0.5813,unknown,0
Please respond to client's email from yesterday.,medium,0.6452,manager,3
"Hey, enjoyed the presentation today.",low,0.2665,peer,1
"call me right now, something went wrong with the release",high,0.8357,manager,3
your benefits enrollment closes in 2 days,medium,0.6195,unknown,0
"Candidate background check cleared, offer going out.",medium,0.6284,manager,3
security patch needs to be applied this week,medium,0.388,peer,1
API rate limits hit 80% - keep an eye on it.,medium,0.3773,peer,1
"ASAP: Insurance claim deadline today 5pm, submit now!",high,0.9209,unknown,0
Did you get my email from yesterday.,low,0.1976,peer,1
Heads up: client visiting office tomorrow.,medium,0.6612,manager,3
Your child's school: please call urgently!,high,0.7429,unknown,0
Mom: beta CALL ME NOW something happened to dad,high,0.7406,family,2
Team: please fill in the availability form by Thursday.,medium,0.55,manager,3
"SOS: I'm stuck in traffic, client meeting in 5 min, can you start!",high,0.8759,peer,1
client exec escalated to our ceo - call me now,high,0.8521,manager,3
"Yo, free this evening.",low,0.0444,peer,1
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7779,unknown,0
"urgent: investor call in 15 min, deck not loading, fix now",high,0.8061,manager,3
your benefits enrollment closes in 2 days,medium,0.4359,unknown,0
Please update the JIRA ticket with your progress.,medium,0.662,peer,1
"project update: everything's on track, no blockers",low,0.0705,peer,1
meme incoming 😂,low,0.2391,peer,1
PR review needed before tomorrow's sprint demo.,medium,0.4149,peer,1
Budget approval needed before EOD TODAY - final reminder,high,0.7598,manager,3
"Driver: your passenger has left belongings, urgent return!",high,0.9892,unknown,0
Emergency team call in 5 minutes - mandatory attendance,high,0.8553,manager,3
Vendor payment pending your approval.,medium,0.6683,manager,3
Feature flag needs to be enabled before release,medium,0.5336,peer,1
"Just saw your post on LinkedIn, nice one.",low,0.22,peer,1
Weekly digest: top stories for you.,low,0.2842,unknown,0
draft the sow and share for review by tomorrow,medium,0.5673,peer,1
good morning!,low,0.3467,family,2
"breach: ssh keys exposed in public repo, rotate now",high,0.7993,peer,1
"server memory leak crashing every 10 min, need patch now",high,0.8898,peer,1
Coffee later?,low,0.0832,peer,1
"Hey, what's up?",low,0.0448,peer,1
"Ambulance called, Priya collapsed in office, please come!",high,0.9775,peer,1
Please review the proposal before the meeting.,medium,0.4234,peer,1
Database corruption detected - halt all writes immediately!,high,0.7719,peer,1
feature flag needs to be enabled before release,medium,0.665,peer,1
"ceo needs the numbers in 10 minutes, send immediately",high,0.8296,manager,3
"Final: board presentation in 8 minutes, file won't open!",high,0.7252,manager,3
Quarterly goals need to be updated in the system.,medium,0.3744,manager,3
"standby for oncall this weekend, you're primary",medium,0.6896,manager,3
emergency team call in 5 minutes - mandatory attendance,high,0.7837,manager,3
"Medical emergency at office, everyone please respond!",high,0.9186,unknown,0
how was your weekend?,low,0.2692,peer,1
Heads up: client visiting office tomorrow,medium,0.6197,manager,3
team: code freeze is thursday eod,medium,0.409,manager,3
coffee later?,low,0.1185,peer,1
budget approval needed before eod today - final reminder,high,0.9358,manager,3
Roadmap discussion moved to this Thursday,medium,0.4005,manager,3
no action needed - just a status ping,low,0.072,peer,1
"load balancer config change tonight, be aware",medium,0.4704,peer,1
"URGENT: Wrong data pushed to 10k users, recall now",high,0.8775,peer,1
Your subscription renews in 7 days.,low,0.1094,unknown,0
please double-check the prod deployment checklist,medium,0.4483,peer,1
"Contract renewal is up for review, need your input",medium,0.6481,manager,3
"Airport: your flight departs in 40 min, proceed to gate!",high,0.7156,unknown,0
FYI I'll be WFH tomorrow.,low,0.2255,peer,1
"Regulatory audit team arriving in 1 hour, not prepared!",high,0.8355,manager,3
Netflix just dropped a new show btw,low,0.2022,peer,1
Your training course expires in 5 days.,medium,0.5108,unknown,0
Quick question - do you prefer chai or coffee.,low,0.3147,peer,1
Budget spreadsheet needs your sign-off this week.,medium,0.4767,manager,3
DEADLINE: Submit the report in the next 20 minutes or we lose the contract!,high,0.7547,manager,3
"call me right now, something went wrong with the release",high,0.7601,manager,3
Please respond to client's email from yesterday.,medium,0.589,manager,3
Can you review my PR when you get a chance? No rush.,medium,0.6574,peer,1
Your account password expires in 3 days,medium,0.5787,unknown,0
"SLA breach in 20 min if not resolved, client watching",high,0.9433,manager,3
"sos: i'm stuck in traffic, client meeting in 5 min, can you start?",high,0.8208,peer,1
Budget approval needed before EOD TODAY - final reminder,high,0.7132,manager,3
"Yo, free this evening?",low,0.0743,peer,1
Your access request has been approved,medium,0.3752,unknown,0
Tip: complete your profile to get more matches,low,0.0231,unknown,0
Reminder: gym session at 7am tomorrow.,low,0.0508,peer,1
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7959,unknown,0
your subscription renews in 7 days,low,0.1584,unknown,0
weekly digest: top stories for you,low,0.3423,unknown,0
Expense report needs to be submitted this week.,medium,0.6813,unknown,0
Can you send me that article you mentioned?,low,0.3228,peer,1
Netflix just dropped a new show btw,low,0.112,peer,1
"new hire starting monday, please prepare onboarding",medium,0.4845,manager,3
Security patch needs to be applied this week.,medium,0.5124,peer,1
ESCALATION: Customer data visible to wrong users - P0!,high,0.9441,manager,3
can you help debug this issue by eod?,medium,0.6343,peer,1
"Server memory leak crashing every 10 min, need patch NOW!",high,0.7488,peer,1
"Regulatory audit team arriving in 1 hour, not prepared!",high,0.8963,manager,3
Please respond to client's email from yesterday,medium,0.5824,manager,3
critical bug in checkout flow - users can't pay - ship hotfix now,high,0.7201,peer,1
Your order has shipped.,low,0.0754,unknown,0
"Candidate background check cleared, offer going out.",medium,0.6212,manager,3
Can you cover for me in the standup tomorrow.,medium,0.6118,peer,1
Team: code freeze is Thursday EOD,medium,0.3864,manager,3
"asap: insurance claim deadline today 5pm, submit now",high,0.7925,unknown,0
Can you cover for me in the standup tomorrow.,medium,0.6066,peer,1
Just checking in!,low,0.1419,peer,1
"critical path: if you don't merge this in 10 min, release fails",high,0.9708,peer,1
can you send me that article you mentioned?,low,0.1334,peer,1
Production is down. Repeat: prod is down. All hands NOW,high,0.9333,peer,1
your child's school: please call urgently,high,0.8702,unknown,0
please update the jira ticket with your progress,medium,0.6456,peer,1
"Daily step goal: 80% achieved, keep going.",low,0.3451,unknown,0
ALERT: Unauthorized access attempt on production,high,0.814,unknown,0
Roadmap discussion moved to this Thursday,medium,0.5074,manager,3
"Contract renewal is up for review, need your input.",medium,0.476,manager,3
Your order has shipped!,low,0.0558,unknown,0
Draft the SOW and share for review by tomorrow,medium,0.6796,peer,1
"project update: everything's on track, no blockers",low,0.2953,peer,1
reminder: dentist appointment thursday 4pm,low,0.3179,unknown,0
no action needed - just a status ping,low,0.1326,peer,1
"Server memory leak crashing every 10 min, need patch NOW!",high,0.7286,peer,1
Tip: complete your profile to get more matches,low,0.242,unknown,0
Please review the proposal before the meeting,medium,0.3746,peer,1
"Gas leak reported in the building, exit immediately!",high,0.9706,unknown,0
need your signature on the nda before eod,medium,0.3773,manager,3
No action needed - just a status ping,low,0.1875,peer,1
Your account password expires in 3 days.,medium,0.4119,unknown,0
Have you tried that new restaurant.,low,0.31,peer,1
bank flagged suspicious transaction on company account,high,0.904,unknown,0
DEADLINE: Submit the report in the next 20 minutes or we lose the contract!,high,0.7122,manager,3
"Project update: everything's on track, no blockers",low,0.3436,peer,1
Reminder: team lunch tomorrow.,low,0.1913,peer,1
"URGENT: Client threatening to pull the contract, need you on call!",high,0.9809,manager,3
fyi i'll be wfh tomorrow,low,0.1596,peer,1
Just checking in!,low,0.3037,peer,1
"Client meeting moved to 4pm, please update your calendar.",medium,0.6887,manager,3
"Daily step goal: 80% achieved, keep going.",low,0.3006,unknown,0
"Emergency: data leak in prod DB, escalate immediately!",high,0.8693,peer,1
"Production cert expires in 45 minutes, renew NOW",high,0.787,peer,1
Tip: complete your profile to get more matches.,low,0.2201,unknown,0
"ceo needs the numbers in 10 minutes, send immediately",high,0.7857,manager,3
Deployment scheduled for 3pm today - just FYI,medium,0.3649,peer,1
"Marketing campaign going live Thursday, review copy.",medium,0.6552,peer,1
"Hey, how's the new project going.",low,0.0285,peer,1
No action needed - just a status ping,low,0.1471,peer,1
"URGENT: Client threatening to pull the contract, need you on call",high,0.9662,manager,3
don't forget mom's birthday next week,low,0.1418,family,2
Critical bug in checkout flow - users can't pay - ship hotfix now,high,0.9366,peer,1
"Hey, what's up?",low,0.2769,peer,1
heads up: client visiting office tomorrow,medium,0.4668,manager,3
"Production cert expires in 45 minutes, renew NOW",high,0.7553,peer,1
"Regulatory audit team arriving in 1 hour, not prepared",high,0.8717,manager,3
ALERT: Unauthorized access attempt on production,high,0.8075,unknown,0
reminder: gym session at 7am tomorrow,low,0.3487,peer,1
Random thought: we should catch up sometime,low,0.1454,peer,1
"URGENT: Wrong data pushed to 10k users, recall now!",high,0.9807,peer,1
can you cover for me in the standup tomorrow?,medium,0.6733,peer,1
Tip: complete your profile to get more matches.,low,0.2736,unknown,0
"Happy birthday to Raj btw, don't forget to wish.",low,0.0799,peer,1
Team: please fill in the availability form by Thursday.,medium,0.5059,manager,3
Team: please fill in the availability form by Thursday.,medium,0.6179,manager,3
Client exec escalated to our CEO - call me now,high,0.7271,manager,3
Are we still on for Friday drinks.,low,0.1649,peer,1
New blog post from your favourite author.,low,0.0988,unknown,0
Random thought: we should catch up sometime,low,0.2854,peer,1
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7809,unknown,0
"Gas leak reported in the building, exit immediately",high,0.8977,unknown,0
Random thought: we should catch up sometime.,low,0.0924,peer,1
Don't forget mom's birthday next week,low,0.2575,family,2
can you cover for me in the standup tomorrow?,medium,0.6683,peer,1
"Urgent: refund batch job failed, 500 customers affected",high,0.7092,peer,1
Security patch needs to be applied this week.,medium,0.5941,peer,1
"Production cert expires in 45 minutes, renew NOW!",high,0.7398,peer,1
"Client meeting moved to 4pm, please update your calendar",medium,0.4904,manager,3
"Building fire alarm triggered, evacuate immediately!",high,0.8635,unknown,0
client exec escalated to our ceo - call me now,high,0.7768,manager,3
"urgent: refund batch job failed, 500 customers affected",high,0.8748,peer,1
did you watch the game last night?,low,0.0471,peer,1
"CRITICAL PATH: If you don't merge this in 10 min, release fails",high,0.9145,peer,1
Team: code freeze is Thursday EOD,medium,0.6837,manager,3
"Airport: your flight departs in 40 min, proceed to gate",high,0.9292,unknown,0
"urgent: client threatening to pull the contract, need you on call",high,0.8373,manager,3
"ASAP: Insurance claim deadline today 5pm, submit now!",high,0.7551,unknown,0
API rate limits hit 80% - keep an eye on it.,medium,0.5309,peer,1
"URGENT: Server is down, customers can't login - call NOW!",high,0.7399,peer,1
"Ransomware detected on 3 machines, disconnect from VPN now",high,0.9209,peer,1
"Server memory leak crashing every 10 min, need patch NOW",high,0.8047,peer,1
Need your signature on the NDA before EOD.,medium,0.6731,manager,3
roadmap discussion moved to this thursday,medium,0.4563,manager,3
"happy birthday to raj btw, don't forget to wish",low,0.169,peer,1
PR review needed before tomorrow's sprint demo.,medium,0.639,peer,1
"power outage in datacenter, backup failing",high,0.8947,peer,1
vendor payment pending your approval,medium,0.3927,manager,3
"Hey, are you coming to the party?",low,0.0436,peer,1
Random thought: we should catch up sometime,low,0.1881,peer,1
Urgent: lawyer needs document signed in next 30 min,high,0.7833,manager,3
"Building fire alarm triggered, evacuate immediately",high,0.8631,unknown,0
netflix just dropped a new show btw,low,0.1771,peer,1
Your package has been delivered.,low,0.0211,unknown,0
Did you watch the game last night?,low,0.1151,peer,1
"project update: everything's on track, no blockers",low,0.103,peer,1
Deployment scheduled for 3pm today - just FYI.,medium,0.3776,peer,1
Can you help debug this issue by EOD?,medium,0.4383,peer,1
"ASAP: Security breach detected, isolate the system",high,0.7884,peer,1
Your order has shipped!,low,0.0598,unknown,0
urgent: lawyer needs document signed in next 30 min,high,0.8415,manager,3
Vendor payment pending your approval.,medium,0.398,manager,3
